Name,ReviewCount,Brand,ImageURL,Rating
"OPI Infinite Shine, Nail Lacquer Nail Polish, Bubble Bath",0.0,opi,https://i5.walmartimages.com/asr/0e1f4c51-c1a4-4f38-91bb-fd19317e3e20.aae056ad1dcaab1abc7f13c21ca53440.jpeg,0.0
"Clairol Nice N Easy Permanent Color 7/106A Natural Dark Neutral Blonde, 1.0 KIT",29221.0,clairol,https://i5.walmartimages.com/asr/e3a601c2-6a2b-4cc8-bb35-a9049930ded9_1.ab14e053feea88a9026baeca4d49cb77.jpeg | https://i5.walmartimages.com/asr/0486808b-9ce5-4df5-bf1e-da93f1dcbf83_1.dda3e2ede735f709cf380158706b30c5.jpeg | https://i5.walmartimages.com/asr/430f222f-7889-4016-836d-d82a9c4828b0_1.489791f211ea0d0b7afd6bdb49e4334a.jpeg | https://i5.walmartimages.com/asr/56b9720a-542d-4659-b96c-1b21538e841c_1.2d25a3568680a10f9fc13ec3bdb55936.jpeg | https://i5.walmartimages.com/asr/765046f4-f3f9-406d-8544-5f99dbc1b508_1.4bd398150d394b8480c4d6052b130b73.jpeg | https://i5.walmartimages.com/asr/2e393d46-7b44-41ed-afa2-dc1869f2500f_1.80b12f897c3321b65293529848062622.jpeg | https://i5.walmartimages.com/asr/757b7b18-c2a9-4677-bd5a-661175983ba1_1.219bca851bc5c1aa6d27067579a94d7b.jpeg,4.5
"Kokie Professional Matte Lipstick, Hot Berry, 0.14 fl oz",0.0,"kokie, cosmetics",https://i5.walmartimages.com/asr/25b4b467-bc61-4e59-ba14-a123866e3384_1.453b236381c1d21a20c646821a47da0a.jpeg,0.0
"Gillette TRAC II Plus Razor Blade Refills, Fit TRAC II Handles, 10 ct",131.0,gillette,https://i5.walmartimages.com/asr/1a2ebb06-cd01-4c73-9c6a-28a9c5ff8c1d.49cd30de37f9863bc4b217384bdedbcc.jpeg | https://i5.walmartimages.com/asr/3201391a-02cd-44b4-9112-641e407b8333.4224c67e1423877e778c613cfc7695bc.jpeg | https://i5.walmartimages.com/asr/7d5f5581-1fa2-44f5-878b-9b07da3bcdab.f38f6a90c05b25f2acb3993f288096a0.jpeg | https://i5.walmartimages.com/asr/38f166ea-3ef0-4a80-97cd-390f3830618e.5c9b0fde0c76990a300846b3e4ccb506.jpeg | https://i5.walmartimages.com/asr/44337d82-c7fb-476e-85e3-34c6d198922f.0c84ac688d94f8d7df8be9299a5d70c5.jpeg | https://i5.walmartimages.com/asr/8c250c82-4c32-4afe-9541-a4791f333a90.a0ad3d2c46475242722732c4c79692c3.jpeg | https://i5.walmartimages.com/asr/e6e0df7a-2ce0-4ba1-809e-6bc5d26e3a9d.c08f23e98f2a55897c1698357004146c.jpeg,0.0
BMC Bright and Loud Cream Gel Lacquer Polish Set - Neon Wasteland Collection,0.0,bmc,https://i5.walmartimages.com/asr/93f8bbf3-2dfd-463d-a2b1-f053f228ec71_1.127e64ffab0b55222799a1204d446d44.jpeg | https://i5.walmartimages.com/asr/fe8d4e2b-5f59-44d9-8d5b-474464883504_1.f1744918f11327fa444af5e17d009dbf.jpeg,0.0
"Clairol Natural Instincts Demi-Permanent Hair Color Crème 6R Light Auburn, 1 Application",2935.0,clairol,https://i5.walmartimages.com/asr/00a6e54a-e431-4315-b840-9e36304ad9d1_2.61f96677bc4280551177cc01dd59f164.jpeg | https://i5.walmartimages.com/asr/dd9470be-14cb-40cf-b59b-a409bb96db32.c27e2db4e6c15b01c21b2d4f8d532cf9.jpeg | https://i5.walmartimages.com/asr/1e2bd182-7f0a-4ca6-a814-4702e604a57d_2.c7f8a0d2893f7ef62badc1047cddd3ef.jpeg | https://i5.walmartimages.com/asr/01409f0e-c8f1-4f25-a976-9ca682586922_1.45d9ed5394eb2cbd4ec2eab1f6d4eb95.jpeg | https://i5.walmartimages.com/asr/a28186c9-cb3b-4e16-bcbf-4f617d66d5fd.c955a64fc2f9882edb470a1caee262e3.png | https://i5.walmartimages.com/asr/5b3095a4-0f15-4b69-ad12-a6a0b841d6cf_2.298b1be58a33e4592a4c2ccb3b86f685.jpeg | https://i5.walmartimages.com/asr/eb4f27c8-6f58-4c77-a6a0-445f37480683_1.1e8d0a4c90bff3370f5ef8e55e613ef2.jpeg,3.7
Daily Concepts Daily Body Scrubber,10.0,"daily, concepts",https://i5.walmartimages.com/asr/d3e7679d-781e-41e5-8af6-9897863ca5dc_1.a8925297f7105e04a14ecf2fafc69664.jpeg | https://i5.walmartimages.com/asr/64e3ec37-d740-4360-a596-60350af449fb_1.0e6b9501035989e0f52834e4c28d5388.jpeg | https://i5.walmartimages.com/asr/dd0167fa-c4d8-4269-bdad-a58e3253a17c_1.af41f82559482f6bb1b043bceb6b369a.jpeg | https://i5.walmartimages.com/asr/4bd4f390-a2a8-493a-8530-3d0c624ae419_1.536b050bf76cc6ea5e7622b78bbf0cf8.jpeg | https://i5.walmartimages.com/asr/43bf2b93-5872-4516-b76e-68a7201bc563_1.3b2bad280f18e30aa3db44e401f10fb9.jpeg | https://i5.walmartimages.com/asr/4fb7dbdf-c9ab-4d78-a00e-c627db6a3f1d_1.d8226f2780f1f860156dcc7ff8190d4b.jpeg | https://i5.walmartimages.com/asr/4b3c8113-3f3a-4efa-8f0e-5c057a294a87_1.4ad058e08b4cf9b434931fb932063d6b.jpeg | https://i5.walmartimages.com/asr/172f944e-8130-4fcc-b607-44a5faa0ad68_1.2d65bb0e5a2916cd6ef9e9f9937bb8aa.jpeg | https://i5.walmartimages.com/asr/f3dd3264-5cb2-491e-a216-9737ca12537b_1.41e70b8933d2580f31ac977820547cd9.jpeg | https://i5.walmartimages.com/asr/f93270b6-96f7-4726-9989-00415b08fdc7_2.5854af7426039a59e95c5f48fc7a4fd3.jpeg,4.4
"LOreal Paris Excellence Creme Permanent Triple Protection Hair Color, 2C Luscious Black, 1 Kit",6494.0,paris,https://i5.walmartimages.com/asr/5ffb3626-4031-4ec3-ac4d-cb0ff21f8cf9_2.c0764182e0f55cc5e35a127e2c8dca5e.jpeg | https://i5.walmartimages.com/asr/bf4e93e5-063c-48c5-bff7-939f578f1248_1.8a1e5b0d5927ba21e2089df799ceb6ac.jpeg | https://i5.walmartimages.com/asr/2d4ead4d-dbdf-418a-8aca-1c7f39596961_2.63457cd287f796c6ef91d45bcecf8ff2.jpeg | https://i5.walmartimages.com/asr/cd6cc37a-edc1-44dc-afc3-e3d190aa5708_2.ed2ab33b67deb491328d88cb11b979a9.jpeg | https://i5.walmartimages.com/asr/d3d51fca-e300-4c63-86c3-4e3005071503_2.579753ee382d21bbf708c91ed89f193e.jpeg | https://i5.walmartimages.com/asr/ecfb6c2f-79ec-464c-8613-4595f41e3d90_2.c19c6212eae61cad84e88d3ec2cfa794.jpeg | https://i5.walmartimages.com/asr/b5af72ff-899d-46fd-80a3-d96e96cf5209_2.939721b47ba110bbd5a2048621868997.jpeg | https://i5.walmartimages.com/asr/92200147-04d8-4527-a085-96e5975a4d40_1.3d3c65f7dab58373756dbbe535570399.jpeg | https://i5.walmartimages.com/asr/f2118e18-de00-49d6-9f3e-f5ceaee0a43f_2.2a61edec0c63105e85809c61f322c2df.jpeg,4.0
"ACT Braces Care Anticavity Mouthwash (18 Oz, Clean Mint)",32.0,act,https://i5.walmartimages.com/asr/a7fa6e41-316f-462b-8a94-11672f45a012.6edbcaff25bf6c50ad5df081f4d54213.jpeg | https://i5.walmartimages.com/asr/db3dde78-bf56-457e-aa32-d301f4e9f2d6.a921e7cc4a46e5bde643d4c57b4446ed.jpeg | https://i5.walmartimages.com/asr/464f7d12-b9d7-454e-be81-32e3e4dedae3.e96ec2524345e7108bd7089098af0eeb.jpeg | https://i5.walmartimages.com/asr/3d029b1a-fec7-4095-a09f-3667ce1ba3cd.18646e84c25dd9874b11238ffe9a0eeb.jpeg | https://i5.walmartimages.com/asr/3942ef90-1287-4da0-845c-156429ab69d8.dd2337ac83edee44f3b9cf6b63d86a52.jpeg | https://i5.walmartimages.com/asr/c2121121-9ea4-4074-9dea-d63f2af20ee3.be0aa0ebe05bf16942fd7db504f52eb2.jpeg | https://i5.walmartimages.com/asr/ba8b3cee-1745-474d-9fee-a9aa1273104a.875be8f2e9d79a38580b31ceaee27fc6.jpeg,5.0
Hempz Milk & Honey Herbal Body Moisturizer 2.25 oz.,7.0,hempz,https://i5.walmartimages.com/asr/83e236e5-392c-4bfc-a637-fa6fe5b42883_1.3daf8284a9e730c8993bf40eec5135cc.jpeg | https://i5.walmartimages.com/asr/eef1fdee-f80d-4f69-84c9-f355fc15e337_1.2e9ce06bae702af902f9187f72230527.jpeg | https://i5.walmartimages.com/asr/09ee5aee-3c13-46b7-9ccd-ba2254ea4661_1.0703a5389e9dd2abb416e19aa6fc0cb5.jpeg | https://i5.walmartimages.com/asr/c74601ff-a103-4760-8358-f131d98aee20_3.400d6cc17cfc668a2ed49187bea4afe6.jpeg | https://i5.walmartimages.com/asr/53138590-10eb-4d2a-b824-cf68ec462067_1.6acdd9f51a065663dce93054c38aa522.jpeg,0.0
